text,intent
pay rent,PAYMENT_HELP
pay monthly rent,PAYMENT_HELP
pay boarding fee,PAYMENT_HELP
make payment for rent,PAYMENT_HELP
make payment for boarding,PAYMENT_HELP
settle my boarding fee,PAYMENT_HELP
settle rent amount,PAYMENT_HELP
complete payment,PAYMENT_HELP
complete my payment,PAYMENT_HELP
complete rent payment,PAYMENT_HELP
pay utilities,PAYMENT_HELP
pay electricity charge,PAYMENT_HELP
pay water charge,PAYMENT_HELP
pay electricity and water,PAYMENT_HELP
where to pay rent,PAYMENT_HELP
where can i pay boarding fee,PAYMENT_HELP
where do i pay monthly rent,PAYMENT_HELP
steps to pay rent,PAYMENT_HELP
steps to pay boarding fee,PAYMENT_HELP
steps to complete payment,PAYMENT_HELP
how to pay rent online,PAYMENT_HELP
how to pay boarding fee online,PAYMENT_HELP
how to make payment in app,PAYMENT_HELP
how to settle rent using app,PAYMENT_HELP
how to complete payment using card,PAYMENT_HELP
how to pay utilities online,PAYMENT_HELP
how to pay both rent and utilities,PAYMENT_HELP
payment option not visible,PAYMENT_HELP
payment button missing,PAYMENT_HELP
payment page not showing,PAYMENT_HELP
where is payment section,PAYMENT_HELP
where do i click to pay,PAYMENT_HELP
how to start payment process,PAYMENT_HELP
how to proceed with payment,PAYMENT_HELP
pay first month boarding fee,PAYMENT_HELP
pay after registration,PAYMENT_HELP
pay after owner approval,PAYMENT_HELP
how to retry payment,PAYMENT_HELP
retry rent payment,PAYMENT_HELP
pay from mobile phone,PAYMENT_HELP
pay using card,PAYMENT_HELP
pay using bank transfer,PAYMENT_HELP
is cash payment allowed,PAYMENT_HELP
can i split payment,PAYMENT_HELP
pay outstanding amount,PAYMENT_HELP
settle unpaid rent,PAYMENT_HELP
clear pending payment,PAYMENT_HELP
pay dues,PAYMENT_HELP
pay current month bill,PAYMENT_HELP
make rent payment now,PAYMENT_HELP
make utility payment,PAYMENT_HELP
payment instructions unclear,PAYMENT_HELP
need steps to pay,PAYMENT_HELP
where can i pay online,PAYMENT_HELP
how to confirm payment success,PAYMENT_HELP
upload payment proof,PAYMENT_HELP
pay boarding bill,PAYMENT_HELP
finish payment process,PAYMENT_HELP
pay hostel fee,PAYMENT_HELP
pay room charges,PAYMENT_HELP
payment help for rent,PAYMENT_HELP
how do payments work,PAYMENT_HELP
pay charges online,PAYMENT_HELP
rent payment process,PAYMENT_HELP
payment method explanation,PAYMENT_HELP
settle fees today,PAYMENT_HELP
payment for boarding,PAYMENT_HELP
pay my bill,PAYMENT_HELP
pay shown amount,PAYMENT_HELP
how to clear dues,PAYMENT_HELP
finish paying rent,PAYMENT_HELP

payment history,PAYMENT_HISTORY
view payment history,PAYMENT_HISTORY
see payment history,PAYMENT_HISTORY
previous payments,PAYMENT_HISTORY
previous rent payments,PAYMENT_HISTORY
payment records,PAYMENT_HISTORY
transaction history,PAYMENT_HISTORY
billing history,PAYMENT_HISTORY
old payment details,PAYMENT_HISTORY
last payment,PAYMENT_HISTORY
check previous payments,PAYMENT_HISTORY
show past payments,PAYMENT_HISTORY
see old transactions,PAYMENT_HISTORY
payment receipt,PAYMENT_HISTORY
download receipt,PAYMENT_HISTORY
download payment receipt,PAYMENT_HISTORY
receipt for rent,PAYMENT_HISTORY
invoice download,PAYMENT_HISTORY
paid invoice,PAYMENT_HISTORY
payment invoice,PAYMENT_HISTORY
payment confirmation,PAYMENT_HISTORY
proof of payment,PAYMENT_HISTORY
payment summary,PAYMENT_HISTORY
monthly payment record,PAYMENT_HISTORY
utility payment history,PAYMENT_HISTORY
rent payment history,PAYMENT_HISTORY
payment logs,PAYMENT_HISTORY
transaction list,PAYMENT_HISTORY
paid bills history,PAYMENT_HISTORY
receipt not showing,PAYMENT_HISTORY
history not loading,PAYMENT_HISTORY
missing payment record,PAYMENT_HISTORY
check if bill paid,PAYMENT_HISTORY
show completed payments,PAYMENT_HISTORY
old receipts,PAYMENT_HISTORY
download old invoice,PAYMENT_HISTORY
payment archive,PAYMENT_HISTORY
billing records,PAYMENT_HISTORY
see last month payment,PAYMENT_HISTORY
payment details,PAYMENT_HISTORY
past bill records,PAYMENT_HISTORY
transaction proof,PAYMENT_HISTORY
invoice history,PAYMENT_HISTORY
rent invoice,PAYMENT_HISTORY
